Step,EFA,GLD,NFLX,NOW,NVDA,PANW,PLTR,QQQ,TSLA,V,XLE,XLF
91,83.62321314611577,348.31087078660346,1196.6039150536415,330272713.27397716,1.1928528995164387e+69,339.5606009932209,162.5040924626502,572067.9780121351,294.3976199163447,354.58340611490445,inf,49.272966057773175
92,83.65142149762934,348.79755899359145,1199.3083134212989,380852317.33495,6.5106104947865225e+69,342.1988995796162,163.52996739961475,618902.8448344017,295.05247975918513,354.86629997268267,inf,49.303220627650504
93,83.68253288692954,349.2650674104355,1202.0804876342577,439177876.15021914,3.553501779809388e+70,344.83686629410306,164.55666987054553,669572.0026492163,295.708904233808,355.16054625328053,inf,49.335366970887364
94,83.71219066291712,349.8015359983763,1204.8076634619883,506435718.6446331,1.9395070415009468e+71,347.5154196463168,165.48611887020851,724389.1595287136,296.320155211965,355.4816678518712,inf,49.36778722875364
95,83.734402815679,350.3131879135655,1207.4191426466252,583993762.2938179,1.0585860925707938e+72,350.2066884806435,166.50927926606695,783694.2308379757,296.9988282997223,355.72225430641146,inf,49.39641007453407
96,83.76345317591905,350.80441201571824,1210.1248416845358,673429423.5299077,5.777780082288734e+72,352.9095669307297,167.47850616949415,847854.8096197827,297.6490100978287,356.0105929577715,inf,49.426948713005324
97,83.79012200867349,351.3062484311651,1212.8668409874062,776561664.1504651,3.1535217507176847e+73,355.66304577258893,168.5404867804414,917268.0012221476,298.37058774360696,356.28089967813315,inf,49.45804194599854
98,83.82501092342498,351.80466215986274,1215.4019206151906,895488104.8485866,1.7211972921458636e+74,358.4165455391538,169.55590483713584,992363.5765653721,299.03795033939883,356.5718772163648,inf,49.48643968986098
99,83.8539221176498,352.3053262139939,1218.0381296887767,1032627539.3408515,9.394322768872604e+74,361.19672785446926,170.60836532621065,1073607.1282638062,299.7277475096507,356.8772096799457,inf,49.51526688617827
100,83.88340654853789,352.80632319346216,1220.6662775089267,1190769141.0523832,5.12743662150028e+75,363.9822095458126,171.62312647610315,1161502.4391506766,300.25375175389075,357.20088666642727,inf,49.543151844464205
101,83.9055362410707,353.27788078357634,1223.119516061787,1373129327.4398994,2.7985632338090676e+76,366.8106846472482,172.70226719917682,1256593.5032627631,300.7695534102915,357.4725761474846,inf,49.574612000828964
102,83.93864617700012,353.7710172926516,1225.8056239630857,1583417022.2094238,1.5274603572449907e+77,369.66269650469013,173.75172775341235,1359469.725616248,301.43640143884926,357.7263147762168,inf,49.60551244121687
103,83.96111682840738,354.2486007959003,1228.8649447380603,1825909213.236888,8.33690343233524e+77,372.4907941776584,174.86411211712291,1470767.7834281123,302.1288451374298,358.00918405671916,inf,49.633435942775186
104,83.98425824796894,354.7451266020018,1231.7950864932225,2105537816.9072983,4.550295430609035e+78,375.41826839103254,175.83913345706944,1591177.807078047,302.6834421454648,358.32458812262684,inf,49.667843184363655
105,84.01003064345096,355.22537200480417,1234.3106589846057,2427990058.4657655,2.4835586346742245e+79,378.3481123801358,176.9744549753819,1721446.3330032474,303.33927718614035,358.59363258519016,inf,49.701843519797464
106,84.0365320075577,355.7355423497939,1236.9069353626544,2799824187.1563435,1.3555303355411646e+80,381.27284940664657,178.00138086800288,1862379.5583103176,304.04074018460244,358.89194425092114,inf,49.73481640688201
107,84.0566674610642,356.2528546418307,1239.8144202312103,3228602922.8350787,7.398506582122088e+80,384.22724533978806,179.08848536426333,2014850.782449216,304.7053980988191,359.17581262299166,inf,49.76651230602498
108,84.08515124965217,356.7831091463842,1242.7588863251303,3723047028.4200416,4.038116906019017e+81,387.26814770965393,180.11646871015526,2179805.2623524196,305.4689238990237,359.466574111228,inf,49.797462463062374
